Iteration,Basis,Rotation,Combo
1,4.659904013181343,4.147600134006474,4.836817247786064
2,4.668091598232546,4.750678736573411,4.6408544336223825
3,4.510478565917749,4.612597923546421,4.48165276939992
4,4.3790935070070525,4.338927097457408,4.8772796525669
5,4.6818046899538865,4.495463397553607,4.947032849906621
6,4.434354142686456,3.8109269734675437,4.5362615152579835
7,4.624607698817658,5.2015070149062375,4.45874195247984
8,4.328684411942862,4.224046476573901,4.383750083773359
9,4.718541948720313,4.703266108267755,4.505485683630663
10,4.095490143128887,4.515178882373008,4.08537130443363
11,4.88089789265302,4.443132868896081,4.589234993407898
12,4.7015896462731135,4.446485799630504,4.436119313890643
13,4.504138415373145,4.55465210763343,4.585501366833398
14,4.967980171338379,4.872334145733248,4.376763265858562
15,4.7991327078453905,4.410208373283717,4.568071023663004
16,4.624259590536825,4.5187120447142926,4.615023218264736
17,4.914064573744375,4.387682970205022,4.876854782557664
18,4.765468953881935,4.585873611873644,4.809776500270455
19,4.703965336098916,5.0246521903437324,4.143150034773462
20,4.744093414528888,4.707736415141034,3.94372910028131
21,4.546177366267562,4.597460601248582,4.178517911169781
22,4.106146366078763,4.66264567833584,4.653185043192795
23,4.872597646393478,4.896435157463386,4.914618507032304
24,4.844171924152723,4.671705896853256,4.574202716911393
25,5.137908119388039,4.519242208495936,4.287550153348995
26,4.712929747666477,4.574645522240798,4.960885053069261
27,4.351633281776411,4.172085767493751,4.219363415549577
28,4.649574897923499,4.419245102584552,4.741010011299226
29,4.233027845193534,4.514912503156599,4.753613432086126
30,5.097702970854954,4.3350668443256914,4.545333487309031
31,4.926006439690152,4.276056559366883,5.014725439494108
32,4.577785218580069,4.83297099444429,4.140963819704177
33,4.939810178995596,4.281321933022378,4.675919976573006
34,4.716320211372205,4.432986345050463,4.298866247862383
35,4.19490926420021,4.482481969032494,4.761800853109445
36,4.58953079007244,5.095929723434769,4.859139413518547
37,4.389288105054841,4.5665713006412165,4.244610149966716
38,5.300675311068582,5.168716673710641,4.6326480150639515
39,4.424535296246193,4.738752299472259,4.487114493117309
40,4.677913140568669,4.430016864860989,4.4701364746809755
41,4.940639159845909,4.698982415360851,3.9837300520848835
42,4.822839445319885,4.204501220017352,4.437539291727703
43,4.309746713937753,4.576677938360247,4.628401827264262
44,4.022818399343928,4.404285476947342,4.635070981798573
45,4.794190241070762,4.672185100129231,4.67646322986252
46,4.658467444024755,4.468537722075915,4.901508546088115
47,4.338211587186387,4.065138154005163,4.262145730458514
48,4.301774188392245,4.347340052759191,4.218459151283566
49,4.207373865668441,4.87690213302824,4.678514529120694
50,4.04584149955485,4.947434932247648,4.560132196079343
51,4.2842453846238,4.712591097963375,4.345624463695171
52,4.577416177243467,4.525563502807677,4.573926819806954
53,4.284077142634833,5.081610564305122,4.35121682991963
54,4.612281877069504,4.093408104269598,4.710451259219063
55,4.674086502560885,4.725362549081953,4.525421199420964
56,4.209315480363664,4.405907017842325,4.889440119047794
57,4.712767347477542,4.562444275610325,4.224505028142282
58,4.577418451995843,4.413278096040589,5.246152068624766
59,4.806116727540449,4.3861316141294395,4.976444931236287
60,4.531920343991847,5.070343771910854,4.732078124952692
61,5.015645723052299,4.535016219590423,4.597272840383746
62,4.729032489117992,4.750772701021934,5.001722946700588
63,5.125688921322578,4.353665840577656,3.9459581647060356
64,4.885539804713166,4.740921429822704,4.259578107624356
65,4.67679775165272,4.1520251745878465,4.516605089181856
66,4.540154795652063,4.778211493513921,4.4556061159321
67,4.620209512843685,4.485016870818719,4.34365160311689
68,4.370433951232124,3.9571132059847485,4.662352041667735
69,4.7413222641643165,4.492120874650808,5.079445688578872
70,4.446716690084109,4.0871715275435445,4.69273217948723
71,5.236797985557012,3.9866491428981865,4.726748765807813
72,4.258394664047394,4.541692908584299,4.823606710591395
73,4.538833555220395,4.592588044241554,4.9545246510374215
74,4.582022205945763,4.821308549467193,4.610127085047188
75,4.2830770917857075,4.266628470540558,5.088507962251744
76,5.025256327571165,4.084304844580616,4.159978948040011
77,4.517070679780989,4.64325129333052,5.139816724343206
78,4.6927999422067765,3.9686303349694803,5.1421262930474425
79,4.917018189774213,4.702327353440388,4.102851420054605
80,4.571141796005982,4.764914378222713,4.891707252580575
81,4.243002124632056,4.2478151875870696,4.421553636636233
82,4.121735693602719,4.943734538099959,4.898789817604686
83,4.242958149493737,3.991632792812776,4.4550620340480185
84,4.70774646977684,4.303476082718835,5.144898439287525
85,4.123171800739906,4.177784506187631,4.589067428633437
86,4.458497892850547,4.278063051753634,4.671826521464746
87,5.281062149972281,4.542106469861266,4.326806174294909
88,4.601171256003904,4.641289117142235,4.691319919839478
89,4.327600223830627,4.3297267241409765,4.0263842372733345
90,3.906706965786147,4.871262094866023,4.917811363348092
91,4.556294719951431,4.600018095103074,4.686484553072379
92,4.654320304463424,4.412945041502907,4.612718601076164
93,4.66137429562316,4.376001091624736,4.353218152554111
94,4.150813088448274,4.218263897007594,4.468342477053865
95,4.482446244846727,3.97900592931368,4.756799909659688
96,4.462146199178534,4.6384906265221275,4.088962808652458
97,4.310973578581677,4.751054924271217,4.211729066402312
98,4.813258572800146,4.688973578293292,4.81865636357245
99,4.648638161869439,4.65676700760532,4.678410880115169
100,3.9391660400445425,4.5464885412017955,4.387437001595855
