Iteration,Basis,Rotation,Better,Basis,Rotation,Basis,Rotation
1,1.04856283,1.012437908,Rotation,6,4,0,1
2,0.992052638,1.044472281,Basis,,,1,0
3,1.013971342,1.036328111,Basis,,,1,0
4,0.993730993,0.995814458,Basis,,,1,0
5,1.011531213,1.021872816,Basis,,,1,0
6,1.065452965,1.052277172,Rotation,,,0,1
7,0.99235651,1.047778548,Basis,,,1,0
8,1.012920212,0.99942567,Rotation,,,0,1
9,1.055454197,1.040656054,Rotation,,,0,1
10,0.994153347,1.01050473,Basis,,,1,0
11,1.051171345,0.994669176,Rotation,4,6,0,1
12,0.999867934,1.037070853,Basis,,,1,0
13,1.000514556,1.043187797,Basis,,,1,0
14,1.021498503,1.017181992,Rotation,,,0,1
15,1.044869008,0.993937887,Rotation,,,0,1
16,1.00265652,0.981417047,Rotation,,,0,1
17,1.022241598,1.033647031,Basis,,,1,0
18,1.026864909,1.059256295,Basis,,,1,0
19,1.054713706,1.030572942,Rotation,,,0,1
20,1.063527277,1.022504512,Rotation,,,0,1
21,1.009235142,1.027066915,Basis,3,7,1,0
22,1.021698614,0.994653152,Rotation,,,0,1
23,1.048157567,1.032147732,Rotation,,,0,1
24,1.003277919,1.025863968,Basis,,,1,0
25,1.046647335,1.028627227,Rotation,,,0,1
26,1.025622214,0.988138155,Rotation,,,0,1
27,1.037300507,1.004608494,Rotation,,,0,1
28,1.007747837,1.068419712,Basis,,,1,0
29,1.026203147,1.011108864,Rotation,,,0,1
30,1.053134978,0.988464457,Rotation,,,0,1
31,1.023189633,1.007589914,Rotation,4,6,0,1
32,1.017420731,1.009935584,Rotation,,,0,1
33,1.053500362,0.99615647,Rotation,,,0,1
34,1.029190918,0.973147333,Rotation,,,0,1
35,1.008680781,1.037105864,Basis,,,1,0
36,1.040214614,1.05589485,Basis,,,1,0
37,1.024901041,1.035481298,Basis,,,1,0
38,1.053948869,1.015066326,Rotation,,,0,1
39,1.041637997,1.035726593,Rotation,,,0,1
40,1.005133469,1.025598564,Basis,,,1,0
41,0.994068729,1.030079917,Basis,8,2,1,0
42,0.995135005,1.007311091,Basis,,,1,0
43,0.98207271,1.044258489,Basis,,,1,0
44,0.994963773,1.013506028,Basis,,,1,0
45,1.030673534,1.045718285,Basis,,,1,0
46,0.98767294,1.029085388,Basis,,,1,0
47,0.996757314,1.014440888,Basis,,,1,0
48,1.02172206,1.001317472,Rotation,,,0,1
49,0.972548833,1.037585844,Basis,,,1,0
50,1.061086767,0.995256677,Rotation,,,0,1
51,0.974421697,1.056602468,Basis,5,5,1,0
52,0.994211762,0.987042317,Rotation,,,0,1
53,1.056984641,0.998533132,Rotation,,,0,1
54,1.013087049,0.985291904,Rotation,,,0,1
55,1.013273,1.03109012,Basis,,,1,0
56,1.021245675,1.036529884,Basis,,,1,0
57,1.041433824,1.015184637,Rotation,,,0,1
58,0.991421224,1.016395513,Basis,,,1,0
59,1.026952716,1.056872601,Basis,,,1,0
60,1.033886411,1.014735891,Rotation,,,0,1
61,1.033897794,0.99429649,Rotation,5,5,0,1
62,0.999153782,1.014035408,Basis,,,1,0
63,1.007303417,0.998410423,Rotation,,,0,1
64,1.019676301,0.995411303,Rotation,,,0,1
65,0.987906723,1.044665998,Basis,,,1,0
66,1.05139254,1.020120742,Rotation,,,0,1
67,0.980184377,1.024478134,Basis,,,1,0
68,1.020188798,1.02462186,Basis,,,1,0
69,1.056785613,1.021285422,Rotation,,,0,1
70,0.995786169,1.01257758,Basis,,,1,0
71,1.085631494,1.004863649,Rotation,1,9,0,1
72,1.036470332,1.004577556,Rotation,,,0,1
73,1.019113728,1.001335806,Rotation,,,0,1
74,1.037803114,1.027222548,Rotation,,,0,1
75,1.038117153,1.003299755,Rotation,,,0,1
76,1.037818062,1.0097911,Rotation,,,0,1
77,1.019340542,1.016941931,Rotation,,,0,1
78,1.048650119,1.009313675,Rotation,,,0,1
79,1.00649729,1.016886859,Basis,,,1,0
80,1.035974498,1.034634875,Rotation,,,0,1
81,0.98897721,0.980243278,Rotation,5,5,0,1
82,1.025653864,1.036152325,Basis,,,1,0
83,1.031449542,1.0368544,Basis,,,1,0
84,1.002723802,1.044383036,Basis,,,1,0
85,1.060226308,1.015554676,Rotation,,,0,1
86,1.02358264,0.973949233,Rotation,,,0,1
87,1.002487434,1.030584479,Basis,,,1,0
88,1.061449201,1.040162508,Rotation,,,0,1
89,1.004111804,0.987151983,Rotation,,,0,1
90,0.998659926,1.047177699,Basis,,,1,0
91,1.004802613,0.988526924,Rotation,6,4,0,1
92,1.008512084,1.020192827,Basis,,,1,0
93,1.042494365,1.031674022,Rotation,,,0,1
94,0.99198809,1.012796925,Basis,,,1,0
95,1.027871016,0.995664736,Rotation,,,0,1
96,1.002700866,1.048862446,Basis,,,1,0
97,1.02507698,1.041124341,Basis,,,1,0
98,1.04649891,1.06980595,Basis,,,1,0
99,1.016683583,1.058612671,Basis,,,1,0
100,1.023965898,1.003770504,Rotation,,,0,1
,1.021561829,1.019946694,,,,,
